Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Prin Email,Adm Email,Prin Phone,Location,Title I?,Adm Phone,Prin,Stem?,PTA Contact,PTA Website,Contact Stage,Website,type,address,phone,comments,Type,Address,Adm Phone,Website,Instructor,Start,Day,Address,Contact Name,Contact Email,Contact Phone,Location,Type Of Location,Contact Title,New Location,Site URL
1210060738571881,2025-04-23,,2025-04-23,Carmel Valley Middle,Identified,,,,,,—,School Outreach 2025,,,,,,Adam Bishop:  858.481.8221 ext. 3002,56 Corridor,,(858) 481-8221,,,info@cvmsptsa.com,https://www.cvmsptsa.com/ptsa-board/,Contact PTA,,,,,,,,,,,,,,,,,,,,,
1210060738571894,2025-04-23,2025-04-23,2025-04-23,Call Mr. Bishop:  (858) 481-8221 x3002,,,,,,,,,Carmel Valley Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738518496,2025-04-23,,2025-04-23,Black Mountain Middle,Identified,,,,,,—,School Outreach 2025,,,,dglover@powayusd.com,,,56 Corridor,,,,,,,2nd Admin,,,,,,,,,,,,,,,,,,,,,
1210060738619092,2025-04-23,,2025-04-23,Pacific Trails Middle,Identified,,,,,,Has a coding club: https://pt.sduhsd.net/Activities/index.html. Emailed vetha.pierce@sduhsd.net for conection to teacher,School Outreach 2025,,,,scott.wild@sduhsd.net,vetha.pierce@sduhsd.net,,56 Corridor,,"858.509.1000, x4095",Scott Wild,Programming,https://pt.sduhsd.net/Parents/PTSA/PTSA-Executive-Board/index.html,https://pt.sduhsd.net/Parents/PTSA/index.html,Contact PTA,https://pt.sduhsd.net,,,,,,,,,,,,,,,,,,,,
1210060738619109,2025-04-23,2025-04-23,2025-04-23,Follow Up Call,,,,,,,,,Pacific Trails Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738690589,2025-04-23,,2025-04-23,Pacific Coast Academy Charter,Identified,,,,,,,School Outreach 2025,,,,,vendorsupport@pacificcoastacademy.org,,,,,,,,,1st Admin ,,,,,,,,,,,,,,,,,,,,,
1210060738690598,2025-04-23,,2025-04-23,SoCal Scholars Academy,Identified,,,,,,,School Outreach 2025,,,,,,,,,,,,,,1st Admin ,,,,,,,,,,,,,,,,,,,,,
1210060738758491,2025-04-23,,2025-04-23,BEST Academy,Identified,,,,,,,School Outreach 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738758498,2025-04-23,,2025-04-23,St. Peter and the Apostle,Identified,,,,,,,School Outreach 2025,,,,staitano@spacschool.com,info@spacschool.com,,"North County (Oceanside, San Marcos, Escondido, etc)",,,,,,,2nd Admin,https://spacschool.com/,,,,,,,,,,,,,,,,,,,,
1210060738758510,2025-04-23,,2025-04-23,Vallecitos School,Identified,,,,,,,School Outreach 2025,,,,,,,"North County (Oceanside, San Marcos, Escondido, etc)",,760-728-7092,Michelle Peace,,,,1st Admin ,https://www.vallecitossd.net/staffdirectory,,,,,,,,,,,,,,,,,,,,
1210060738690606,2025-04-23,,2025-04-23,Marshal Middle School,Identified,,,,,,,School Outreach 2025,,,,solds@sandi.net,,,"North County (Oceanside, San Marcos, Escondido, etc)",,,,,marshallmustangpresident@gmail.com ,https://mmsfoundation.com/board-members,Contact PTA,,,,,,,,,,,,,,,,,,,,,
1210060738811578,2025-04-23,,2025-04-23,San Diego Consortium of Independent and Private Schools,Identified,,,,,,,School Outreach 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060378307565,2025-04-23,,2025-04-23,St. Mary Star of the Sea Catholic School,Identified,,,,,,,School Outreach 2025,,,,jenglund@stmarystars.com,,760-722-7259,"North County (Oceanside, San Marcos, Escondido, etc)",No,,,"Stem, Programming",,,,,,,,,,,,,,,,,,,,,,,,
1208888318413210,2024-12-02,,2025-04-23,Cathedral Catholic HS (Dons Camps),Contacted,,,,,,,"Summer Camps 2025,School Outreach 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis (Frank) Caro,"admin@cathedralcatholic.org
fcaro@cchsdons.com",(858) 523-4000,Central 56 Cooridor,Private School,Social Studies Teacher & NHS Advisor,True,https://www.cathedralcatholic.org/campus-life/dons-summer-camp
1210060378307545,2025-04-23,,2025-04-23,SMUSD,Contacted,,,,,,Bring back After school classes.  They used to run at the district office and also at San Elijo Middle School.,School Outreach 2025,,,,,christine.corrao@smusd.org,,"North County (Oceanside, San Marcos, Escondido, etc)",,,,"Programming, Stem",,,,,,,,,,,,,,,,,,,,,,,,
1210060378307568,2025-04-23,,2025-04-23,St. Francis of Assisi,In Negotiation,,,,,,,School Outreach 2025,,,,ejoseph@sfs-vista.org,scoy@sfs-vista.org,,"North County (Oceanside, San Marcos, Escondido, etc)",,,,"Programming, Robots",,,,https://sdindependentschools.com/,,,,,,,,,,,,,,,,,,,,
1210060747770790,2025-04-23,,2025-04-23,Legacy Alliance,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,,"Teaching Sites,School Outreach 2025",,,,angela.delegge@thelegacyalliance.org,,,"North County (Oceanside, San Marcos, Escondido, etc)",,,Angela Delegge,Programming,,,,https://www.thelegacyalliance.org/,,,,,,,,,,,,,,,,,,,,
1210060738811598,2025-04-23,,2025-04-23,St. Rita,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,,School Outreach 2025,,,,mrsolsen@stritassd.org,mrsmontijo@stritassd.org (office Manager),,South,Private School in Low Income Area,,,Programming,,,,https://www.stritassd.org/,,,,,,,,,Osvaldo,2024-10-02,Wed,"5165 Imperial Ave, San Diego, CA 92114",,,,,,,,
1210060378307577,2025-04-23,,2025-04-23,Santa Fe Christian,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,,"Teaching Sites,School Outreach 2025",,,,Msiciliano@sfcs.net,,,"North County (Oceanside, San Marcos, Escondido, etc)",,,Mike Siciliano,Programming,,,,,,,,,,,,,,,,,,,,,,,,
1210060738886785,2025-04-23,,2025-04-23,St Martin of Tours,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,,School Outreach 2025,,,,jmiller@stmartinoftoursacademy.org,info51@stmartinacademy.org & office@stmartinoftoursacademy.org,,Mira Mesa,No,619.466.3241,Jennifer Miller,"Stem, Programming",,,,,,,,,,,,,,,,,,,,,,,,
1210060738886799,2025-04-23,2025-04-23,2025-04-23,"Get references from current schools, Torah, Lincoln",,,,,,,,,St Martin of Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738925136,2025-04-23,,2025-04-23,Create the class in Pike13,,,,,,,,,St Martin of Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738925143,2025-04-23,,2025-04-23,Create a Flyer,,,,,,,,,St Martin of Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738925150,2025-04-23,,2025-04-23,St Mary Escondido,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,,School Outreach 2025,,,,esilady@stmesc.org,,760·743·3431,"North County (Oceanside, San Marcos, Escondido, etc)",No,,Ms. Emily Silady,"Stem, Programming",,,,,,,,,,,,,,,,,,,,,,,,
1210060738925163,2025-04-23,2025-04-23,2025-04-23,Logo and a brief workshop description by 7/30/24,,,,,,,,,St Mary Escondido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738966914,2025-04-23,,2025-04-23,Create Flyer,,,,,,,,,St Mary Escondido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738966921,2025-04-23,,2025-04-23,Create the Class in Pike 13,,,,,,,Get with Liz,,St Mary Escondido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738966928,2025-04-23,,2025-04-23,Mt Everest Academy,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,"Introduction from parent, Melissa Keck. 

",School Outreach 2025,,,,cbrowne@sandi.net,,,Mira Mesa,,,Courtney Brown,,,,,,,,,,,,,,,,,,,,,,,,,
1210060743512456,2025-04-23,2025-04-23,2025-04-23,Email Github Instructions to Melissa,,,,,,,,,Mt Everest Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747652264,2025-04-23,,2025-04-23,St. James Academy,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,,School Outreach 2025,,,,clang@saintjamesacademy.com,,,"North County (Oceanside, San Marcos, Escondido, etc)",No,,Mrs. Christine Lang,"Programming, Stem",,,,,,,,,,,,,,,,,,,,,,,,
1210060747652276,2025-04-23,2025-04-23,2025-04-23,Per Student Per Trimester Pricing,,,,,,,"St. James needs a per trimester price per student in the next couple of weeks.  I told her I would need to get back to her on this.  My instinct is around $395 per student per trimester.

This is how they do electives:
    7th and 8th grade elective Fridays 10:45-12:15 Starting 8/30/2024
    Our Tech Club Demo day is scheduled on 8/23/2024
    School will collect all funds from the students then pay us
    They will advertise us this summer to make for a good demo day
    Robotics last year was somewhere between $250 and $300 per student according to the principal

Here are the trimester days in the school year:
    Trimester 1 August 21- November 15; All dates are Fridays, 10:45-12:15 10 Classes
    Trimester 2 November 18-March 7; All dates are Fridays, 10:45-12:15 9 Classes
    Trimester 3 March 10-June 7; All dates are Fridays, 10:45-12:15 8 Classes

No Make Up days for absent students.",,St. James Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747652283,2025-04-23,2025-04-23,2025-04-23,"Send Program blurbs, logos, pricing",,,,,,,,,St. James Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747652290,2025-04-23,,2025-04-23,School of the Madeleine,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,"

",School Outreach 2025,,,,"VP: hpacheco@schoolofthemadeleine.com
P:  ddavalos@schoolofthemadeleine.com",,,Mission Bay,No,,Heather Pacheco,"Programming, Stem",,,,,,,,,,,,,,,,,,,,,,,,
1210060747717686,2025-04-23,,2025-04-23,Copy of Insurance,,,,,,,Liability Insurance Copy to the School,,School of the Madeleine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747717693,2025-04-23,,2025-04-23,Python Workshop Flyer,,,,,,,"Python Workshop Flyer designed for the school.

",,School of the Madeleine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747717700,2025-04-23,,2025-04-23,Torah HS,Transferred to Teaching Sites (Taught in 2024/2025),,,,,,,School Outreach 2025,,,,rabbipeikes@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747717708,2025-04-23,,2025-04-23,Earl Warren Middle School,Deal Reached No Classes,,,,,,—,School Outreach 2025,,,,erica.williams@sduhsd.net,,,,,,,,,,,,Library,157 Stevens Ave.,(858) 755-1404,Follow Up With ROE Info,,,,,,,,,,,,,,,,
1210060378307570,2025-04-23,,2025-04-23,(DImensions) Element Education Charter,Deal Reached No Classes,,,,,,,School Outreach 2025,,,,ghawkins@dimensions.org,ehilliard@dimensions.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060738811588,2025-04-23,2025-04-23,2025-04-23,Email Elisa,,,,,,,"The Principal, Greg Hawkins, said he forwarded my email to Elisa to follow up.  I will email Thursday if I do not hear anything from her.",,(DImensions) Element Education Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747770782,2025-04-23,,2025-04-23,Cabrillo Point Academy Charter,Deal Reached No Classes,,,,,,,School Outreach 2025,,,,,vendorsupport@cabrillopointacademy.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060378307574,2025-04-23,,2025-04-23,Pala Learning Center,No Deal,,,,,,,School Outreach 2025,,,,,(Rhiannon Johnson) rhjohnson@palatribe.com,,"North County (Oceanside, San Marcos, Escondido, etc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210060747770802,2025-04-23,,2025-04-23,Earl Warren Middle,No Deal,,,,,,Has an advanced STEAM class. Emailed amy.olson@sduhsd.net to offer volunteers,School Outreach 2025,,,,,,Reno Medina (858) 755-1558 x4402,56 Corridor,,(858) 755-1558,,Stem,,,,,,,,,,,,,,,,,,,,,,,,
